Bacteria,Fago
m_microti,EvilGenius
m_microti,ChipMunk
m_microti,Penny1
m_microti,Aglet
m_microti,Pukovnik
m_microti,Jobu08
m_microti,Turbido
m_microti,Trixie
m_microti,Kampy
m_microti,Phantastic
m_bovis,Eagle
m_bovis,Vix
m_bovis,LHTSCC
m_bovis,Medusa
m_bovis,Anubis
m_bovis,BellusTerra
m_bovis,Melvin
m_bovis,Obama12
m_bovis,Equemioh13
m_bovis,Tiffany
m_bovis,Piro94
m_bovis,MarQuardt
m_bovis,SweetiePie
m_bovis,Larenn
m_bovis,Taurus
m_bovis,Marie
m_bovis,Malinsilva
m_bovis,Hercules11
m_bovis,EvilGenius
m_bovis,ChipMunk
m_bovis,Penny1
m_bovis,Aglet
m_bovis,Pukovnik
m_bovis,Jobu08
m_bovis,Turbido
m_bovis,Trixie
m_bovis,Kampy
m_bovis,Phantastic
m_lepraemurium,Chy5
m_lepraemurium,Chy4
m_africanum,Eagle
m_africanum,Vix
m_africanum,LHTSCC
m_africanum,Medusa
m_africanum,Anubis
m_africanum,BellusTerra
m_africanum,Melvin
m_africanum,Obama12
m_africanum,Equemioh13
m_africanum,Tiffany
m_africanum,Piro94
m_africanum,MarQuardt
m_africanum,SweetiePie
m_africanum,Larenn
m_africanum,Taurus
m_africanum,Marie
m_africanum,Malinsilva
m_africanum,Hercules11
m_africanum,EvilGenius
m_africanum,ChipMunk
m_africanum,Penny1
m_africanum,Aglet
m_africanum,Pukovnik
m_africanum,Jobu08
m_africanum,Turbido
m_africanum,Trixie
m_africanum,Kampy
m_africanum,Phantastic
m_avium,Chy5
m_avium,Chy4
m_avium_ssp_paratuberculosis_k10,Chy5
m_avium_ssp_paratuberculosis_k10,Chy4
m_bovis_bcg,Eagle
m_bovis_bcg,Vix
m_bovis_bcg,LHTSCC
m_bovis_bcg,Medusa
m_bovis_bcg,Anubis
m_bovis_bcg,BellusTerra
m_bovis_bcg,Melvin
m_bovis_bcg,Obama12
m_bovis_bcg,Equemioh13
m_bovis_bcg,Tiffany
m_bovis_bcg,Piro94
m_bovis_bcg,MarQuardt
m_bovis_bcg,SweetiePie
m_bovis_bcg,Larenn
m_bovis_bcg,Taurus
m_bovis_bcg,Marie
m_bovis_bcg,Malinsilva
m_bovis_bcg,Hercules11
m_bovis_bcg,EvilGenius
m_bovis_bcg,ChipMunk
m_bovis_bcg,Penny1
m_bovis_bcg,Aglet
m_bovis_bcg,Pukovnik
m_bovis_bcg,Jobu08
m_bovis_bcg,Turbido
m_bovis_bcg,Trixie
m_bovis_bcg,Kampy
m_bovis_bcg,Phantastic
m_marinum,Barnyard
m_smegmatis,Brujita
m_smegmatis,Island3
m_smegmatis,Brusacoram
m_smegmatis,Shipwreck
m_smegmatis,Fishburne
m_smegmatis,Chy5
m_smegmatis,Chy4
m_smegmatis,Donovan 
m_smegmatis,32HC
m_smegmatis,BigNuz
m_smegmatis,Babsiella
m_smegmatis,Malithi
m_ssp_jls,Rosebush
m_ssp_jls,Qyrzula
m_ssp_jls,Myrna
mtb_cdc1551,Eagle
mtb_cdc1551,Vix
mtb_cdc1551,LHTSCC
mtb_cdc1551,Medusa
mtb_cdc1551,Anubis
mtb_cdc1551,BellusTerra
mtb_cdc1551,Melvin
mtb_cdc1551,Obama12
mtb_cdc1551,Equemioh13
mtb_cdc1551,Tiffany
mtb_cdc1551,Piro94
mtb_cdc1551,MarQuardt
mtb_cdc1551,SweetiePie
mtb_cdc1551,Larenn
mtb_cdc1551,Taurus
mtb_cdc1551,Marie
mtb_cdc1551,Malinsilva
mtb_cdc1551,Hercules11
mtb_cdc1551,EvilGenius
mtb_cdc1551,ChipMunk
mtb_cdc1551,Penny1
mtb_cdc1551,Aglet
mtb_cdc1551,Pukovnik
mtb_cdc1551,Jobu08
mtb_cdc1551,Turbido
mtb_cdc1551,Trixie
mtb_cdc1551,Kampy
mtb_cdc1551,Phantastic
mtb_f11,Eagle
mtb_f11,Vix
mtb_f11,LHTSCC
mtb_f11,Medusa
mtb_f11,Anubis
mtb_f11,BellusTerra
mtb_f11,Melvin
mtb_f11,Obama12
mtb_f11,Equemioh13
mtb_f11,Tiffany
mtb_f11,Piro94
mtb_f11,MarQuardt
mtb_f11,SweetiePie
mtb_f11,Larenn
mtb_f11,Taurus
mtb_f11,Marie
mtb_f11,Malinsilva
mtb_f11,Hercules11
mtb_f11,EvilGenius
mtb_f11,ChipMunk
mtb_f11,Penny1
mtb_f11,Aglet
mtb_f11,Pukovnik
mtb_f11,Jobu08
mtb_f11,Turbido
mtb_f11,Trixie
mtb_f11,Kampy
mtb_f11,Phantastic
mtb_h37ra,Eagle
mtb_h37ra,Vix
mtb_h37ra,LHTSCC
mtb_h37ra,Medusa
mtb_h37ra,Anubis
mtb_h37ra,BellusTerra
mtb_h37ra,Melvin
mtb_h37ra,Obama12
mtb_h37ra,Equemioh13
mtb_h37ra,Tiffany
mtb_h37ra,Piro94
